Name,Country,priority_rank,area_km2,percentage_protected,mean_HII,priority_set
Gough Island,St Helena (to UK),74,60.36,0,NA,1
Balogo Watershed,Philippines,75,154.55,45.65,21.95,1
Yungilla,Ecuador,76,30.97,0,29.71,1
Cabacera del Rio Baboso,Ecuador,77,30.98,0,21.8,1
Cerro El Zarciadero,Honduras,78,19.98,16.67,18.87,1
Atiu,Cook Islands,79,25.88,0,11.46,1
Pata Island,"Micronesia, Federated States of",80,6.83,0,14,1
Motane (Mohotani) Marine,French Polynesia,81,23.74,0,7.14,1
Mount Lefo,Cameroon,82,44.52,0,16.36,1
Mont Bana,Cameroon,83,6.86,0,17.38,1
Faure and Pelican Islands (Shark Bay),Australia,84,43.37,14.28,4.2,1
Cerro de las Flores,Mexico,85,19.78,0,19.73,1
17 km southeast of Aucayacu,Peru,86,27.2,0,17.57,1
Alto de Oso,Colombia,87,13.72,0,2.53,1
Abra de Zamora,Ecuador,88,54.94,0,31.65,1
Gizo,Solomon Islands,89,23.86,14.29,15.81,1
Saddle Peak National Park,India,90,26.81,0,18.01,1
Rapa Marine,French Polynesia,91,30.5,0,5.97,1
Vereda el Llano,Colombia,92,54.87,0,21.55,1
Tinian Island,Northern Mariana Islands (to USA),93,93.09,7.14,34.74,1
Sahafina Forest (Anivorano-Brickaville) NPA,Madagascar,94,42.36,0,17.63,1
Morne Seychellois National Park,Seychelles,95,34.31,0,NA,1
Tacicuaro,Mexico,96,38.9,0,15.49,1
Tawi-tawi Island,Philippines,97,154.26,0,16.4,1
"Takitumu Conservation Area, Rarotonga",Cook Islands,98,16.04,0,22.24,1
Gundia Forests,India,99,77.21,0,20.02,1
Horton plains / Ohiya / Pattipola-Ambewela,Sri Lanka,100,71.77,76.19,23.07,1
Asarrio,Colombia,101,37.85,0,20.48,1
Otago Peninsula,New Zealand,102,33.56,57.12,15.86,1
Henderson Island,Pitcairn Islands (to UK),103,28.22,0,1.79,1
Gunung Sahendaruman,Indonesia,104,92.77,0,15.7,1
Bois Musicien,Haiti,105,22.87,0,25.67,1
"Vallées Maruapo, Papehue, Hopuetamai et Orofero",French Polynesia,106,32.8,0,23.06,1
Tabuaeran (Fanning Island),Kiribati,107,20.61,0,6.91,1
Gannoruwa Forest Reserve,Sri Lanka,108,30.73,0,46.52,1
Ua Huka,French Polynesia,109,40.81,0,6.99,1
Austin Strait,India,110,40.27,0,18.86,1
Manjakatompo-Ankaratra Massif NPA,Madagascar,111,64.96,0,15.67,1
Agua Rica,Ecuador,112,30.94,0,20.94,1
Tumbalá,Mexico,113,39.44,0,21.46,1
Montagne Planneau (Grand Bois-Varigault-Cascade),Seychelles,114,34.31,0,NA,1
Aux Becs-Croisés,Haiti,115,58.81,0,22.56,1
Mont Mlédjélé (Mwali highlands),Comoros,116,90.8,0,21.37,1
Bamboutos Mountains,Cameroon,117,119.89,0,19.53,1
Mont Manengouba,Cameroon,118,130.3,0,18.91,1
Mangaia,Cook Islands,119,41.52,0,16.38,1
Makatea,French Polynesia,120,26.49,0,11.45,1
Mount Oku,Cameroon,121,304.55,12.36,17.23,1
Príncipe forests,Sâo Tomé e Principe,122,51.61,93.33,26.49,1
Montagne Brûlée-Piton de l'Eboulis,Seychelles,123,6.86,0,NA,1
Cap Ternay / Baie Ternay Marine National Park,Seychelles,123,6.86,50,NA,1
Niau Marine,French Polynesia,125,23.15,0,4.42,1
Mlima Combani and Mlima Mtsapéré,Mayotte (to France),126,3.36,0,23.93,1
Islote Pupuya,Chile,126,2.85,0,24.08,1
Mount Saint Catherine,Grenada,128,23.56,85.71,23.9,1
Montagne Corail-Collines du Sud dry forests,Seychelles,128,6.86,0,NA,1
Beausejour/Grenville Vale,Grenada,130,6.73,50,33.48,1
Laguna El Paraíso,Peru,131,33.77,0,29.99,1
Abra Pardo de Miguel,Peru,132,75.32,50,9.37,1
Mont Signal,Seychelles,133,10.29,0,NA,1
Agrapatana-Bopaththalawa,Sri Lanka,134,20.51,0,23.76,1
Virgin Gorda,Virgin Islands (to UK),135,16.32,80,31.69,1
Orquideas - Musinga - Carauta,Colombia,136,639.35,98.4,14.56,1
Gumwood Hill,St Helena (to UK),137,19.86,0,NA,1
Bali-Ngemba Forest Reserve,Cameroon,138,27.4,0,14.19,1
Naduvattam,India,139,50.61,0,15.15,1
San Jose de Secce,Peru,140,67.18,0,13.86,1
7 km East of Chachapoyas,Peru,141,54.76,0,4.29,1
Carite,Puerto Rico (to USA),142,107.98,78.79,33.61,1
Fishers Valley Flat,St Helena (to UK),143,43.03,0,NA,1
Cerro de Hayas-Naranjal,Ecuador,144,61.89,0,15.08,1
Huauchinango,Mexico,145,58.21,0,19.45,1
Ranongga,Solomon Islands,146,68.15,5,14,1
Kianjavato NPA,Madagascar,147,38.47,0,21.64,1
Central Section of Bachang River,Taiwan,148,28.43,0,38.81,1
Grand Police wetlands,Seychelles,149,3.43,0,NA,1
Gunung Awu,Indonesia,150,51.53,0,15.37,1
Mata do Estado,Brazil,151,23.88,0,19.69,1
Laguna Alchichica,Mexico,152,81.19,0,15.58,1
Horto Florestal de Santa Cruz,Brazil,153,66.58,9.52,46.01,1
Alto de Pisones,Colombia,154,13.71,50,18.22,1
São Tomé lowland forests,Sâo Tomé e Principe,155,227.19,63.64,22.71,1
Poamoho,USA,156,44.83,0,30.13,1
Tamarind Falls / Mount Simonet / Cabinet Nature Reserve,Mauritius,157,16.14,40,22.86,1
"Conchamarca, Ambo",Peru,158,60.98,0,18.5,1
Car Nicobar,India,159,122.34,0,13.44,1
Pulau Buano,Indonesia,160,65.31,0,14.54,1
"Yambaru, northern Okinawa forest",Japan,161,489.12,52.19,30.16,1
Cerros de Chalchihuitán,Mexico,162,36.21,0,16.11,1
Los Chilchos to Leymebamba Trail,Peru,163,47.89,0,15.57,1
Granjas del Padre Luna,Colombia,164,147.53,23.25,36.84,1
Sumenep,Indonesia,165,6.83,0,22.27,1
Longwangshan Nature Reserve,China (mainland),166,50.43,0,15.87,1
Tahuna,Indonesia,167,30.92,0,20.12,1
Munnar,India,168,149.12,0,18.74,1
Rota,Northern Mariana Islands (to USA),169,76.77,73.92,40.37,1
Adiopodoume,Côte d'Ivoire,170,41.13,25,35.33,1
Montagne Glacis - When She Comes,Seychelles,171,6.86,0,NA,1
Hantsongoma Lake,Comoros,172,16.86,0,20.71,1
Horton Plains and Agra-Bopats,Sri Lanka,173,191.4,33.93,21.55,1
Mbi Crater Faunal Reserve - Mbingo forest,Cameroon,174,61.61,0,14.54,1
Gau Highlands,Fiji,175,65.47,20,10.24,1
West of the Páramo de Apagua,Ecuador,176,51.63,0,20.92,1
Chacchan,Peru,177,50.92,0,17,1
Mount Elimbari,Papua New Guinea,178,78.71,0,17.4,1
Late,Tonga,179,16.29,0,NA,1
Beraliya-Kudagala,Sri Lanka,180,130.03,18.42,24.38,1
Aux Diablotins,Haiti,181,68.61,0,19.17,1
Abd al-Kuri,Yemen,182,100.93,0,NA,1
Pohnpei Watershed Forest Reserve,"Micronesia, Federated States of",183,187.96,0,16.08,1
East Usambara Mountains,Tanzania,184,860.74,82.87,11.93,1
Perairan Siau,Indonesia,185,58.45,0,20.53,1
Fatu Hiva,French Polynesia,186,71.08,0,0,1
Altamira,Mexico,187,44.57,0,49.28,1
Ruiyansi,China (mainland),188,80.65,0,19.14,1
Karthala Mountains,Comoros,189,195.47,0,20.23,1
Serranía del Pinche,Colombia,190,75.67,59.09,21.26,1
Uman Island,"Micronesia, Federated States of",191,6.83,0,16.12,1
Farellones 2,Chile,192,89.24,67.74,4.7,1
Pulau Siau,Indonesia,193,58.45,0,20.89,1
Jerusalem (west),Israel,194,32.19,9.09,44.41,1
Governor's Shola (Nilgiri),India,195,47.24,0,16.05,1
Municipio de Pandi,Colombia,196,54.93,0,19.98,1
Tristan Island,St Helena (to UK),197,90.57,0,NA,1
Coromoro,Colombia,198,201.84,11.86,18.69,1
Morne Bailly,Haiti,199,68.11,0,22.47,1
Niuafo'ou,Tonga,200,46.42,0,NA,1
Lago Zacapu,Mexico,201,48.6,0,16.98,1
Udzungwa Mountains,Tanzania,202,4497.08,93.49,11.39,1
Selva de Florencia,Colombia,203,328.93,44.79,17.03,1
Zapahuira,Chile,204,150.43,0,12.91,1
Cashca Totoras Protected Forest (Bosque Protector Cashca Totoras IBA),Ecuador,205,113.54,0,14.57,1
Nosy Tanihely National Park,Madagascar,206,278,10.84,20.78,1
Nguru Mountains,Tanzania,207,506.58,24.33,13.96,1
Los Bancos - Milpe,Ecuador,208,134.25,0,16.13,1
Carretera Otuzco-Huamachuco 2,Peru,209,88.64,0,15.43,1
Sao Tome Uplands,Sâo Tomé e Principe,210,361.43,51.43,19.99,1
Río Toachi-Chiriboga,Ecuador,211,688.43,8.5,16.88,1
Magens Bay,Virgin Islands (to USA),212,9.8,33.33,43.45,1
Desembocadura del Río Lluta,Chile,213,6.53,50,47.94,1
Woodlands,Grenada,214,13.47,25,39.07,1
Rodrigues Islets,Mauritius,215,3.24,0,NA,1
Morningside and Handapan Ella Plains (Sinharaja IBA),Sri Lanka,215,208.67,98.36,14.47,1
Morne Trois Pitons National Park,Dominica,217,126.16,89.47,28.27,1
Coquillage - Pointe Est,Haiti,218,9.7,0,21.44,1
Playa las Machas,Chile,219,3.27,0,45.37,1
Paradero de aves Roquerios de Laucho y Lisera,Chile,219,3.26,0,42.24,1
Yap Island,"Micronesia, Federated States of",221,54.32,0,20.76,1
Wiac-Sroanef Coastal Area,"Micronesia, Federated States of",222,6.85,0,23.28,1
Ile de la Tortue Est,Haiti,223,22.64,0,26.97,1
Pohndollap Ridge,"Micronesia, Federated States of",224,3.42,0,24.97,1
Cairn Hill Reserve Forest (Nilgiri),India,225,13.5,0,27.22,1
Cutervo National Park and surrounding area,Peru,226,102.65,86.67,17.48,1
New Island Group,Falkland Islands (Malvinas),227,14.93,71.41,4,1
Northern Yap Channels and Mangroves,"Micronesia, Federated States of",228,27.15,0,15.6,1
North Salary MPA,Madagascar,229,79.48,40.06,13.7,1
Aux Cornichons,Haiti,230,26.14,0,18.4,1
South Slopes of Grande Montagne,Mauritius,231,16.2,0,NA,1
Yela-Okat Terminalia/Mangrove,"Micronesia, Federated States of",232,10.28,0,16.69,1
Isla Lobos de Tierra,Peru,233,10.26,0,NA,1
Nan Pailong,"Micronesia, Federated States of",234,3.42,0,16.14,1
Kithulgala,Sri Lanka,235,41,33.33,23.98,1
Nosy Be Crater NPA,Madagascar,236,30.15,0,21.49,1
Bambou Mountain Range,Mauritius,237,41.96,0,23.86,1
Rodrigues mainland,Mauritius,238,81.01,0,NA,1
Santo Domingo,Colombia,239,110.09,0,19.08,1
Karakelang Utara,Indonesia,240,411.87,83.33,14.72,1
Tuxtla Gutiérrez,Mexico,241,39.55,41.67,44.31,1
Mehuin 1,Chile,242,106.4,0,19.91,1
Finkol Terminalia Forest,"Micronesia, Federated States of",243,10.28,0,15.92,1
Río Huayllamarca,Bolivia,244,95.03,0,5.05,1
Wiya Swiftlet Cave,"Micronesia, Federated States of",245,20.56,0,14.37,1
9 km south of Valdivia,Colombia,246,109.31,0,18.94,1
Senpehn-Lehdau Mangroves,"Micronesia, Federated States of",247,6.83,0,17.79,1
Southern Buka Hills,Papua New Guinea,248,119.96,0,20.84,1
Reserva Natural El Pangán,Colombia,249,103.24,3.33,15.98,1
Lepinsed Madoledihmw,"Micronesia, Federated States of",250,20.51,0,14.01,1
Marquesas Marin,French Polynesia,251,214.18,0,7.45,1
Speedwell Island Group,Falkland Islands (Malvinas),252,77.94,0,4.35,1
Villavicencio,Colombia,253,72.11,4.76,31.72,1
Karakelang Selatan,Indonesia,254,106.44,80.65,14.19,1
Boulléré,Guinea,255,43.91,0,19.34,1
Edienleng / Pohn Tehnmei Ridge,"Micronesia, Federated States of",256,17.09,0,15.09,1
Rubião Júnior,Brazil,257,101.48,12.5,37.98,1
"Main Ridge, Tobago",Trinidad and Tobago,258,97.9,51.72,26.56,1
La Empalada,Colombia,259,147.39,51.16,25.74,1
Maybole,Papua New Guinea,260,281.85,6.02,15.72,1
Antisana Ecological Reserve and surrounding areas,Ecuador,261,79.17,86.96,10.91,1
Mount Siburan,Philippines,262,167.83,14,17.55,1
Acultzingo,Mexico,263,231.52,46.47,17.79,1
Ile de la Tortue Ouest,Haiti,264,45.27,0,15.7,1
Mukurthi National Park (Nilgiris),India,265,162.03,0,16.2,1
Humedal-Estuario Tubul-Raqui,Chile,266,65.77,0,21,1
Fierenana NPA,Madagascar,267,189.37,0,16.76,1
Fusagasuga,Colombia,268,126.98,8.11,21.5,1
Monumento Natural Tepui Roraima,Venezuela,269,236.53,85.51,6.95,1
Gilimale-Eratna,Sri Lanka,270,143.57,4.76,23.78,1
Sipora Island,Indonesia,271,598.51,0,13.25,1
Pulau Salibabu,Indonesia,272,54.94,0,14.11,1
Kurumbapatti (Salem District),India,273,80.81,0,15.89,1
Laguna Gwengway,Peru,274,216.91,0,12.94,1
Karaeng - Lompobattang,Indonesia,275,445.55,20.77,19.21,1
Kosrae Upland Forest,"Micronesia, Federated States of",276,34.27,0,13.73,1
Taveuni Highlands,Fiji,277,230.63,21.43,16.41,1
Santchou Faunal Reserve,Cameroon,278,154.25,73.33,18.47,1
Páramo de Sonsón,Colombia,279,763.72,0,19.01,1
Río Caoní,Ecuador,280,148.02,0,19.02,1
Abra Tapuna,Peru,281,100.71,0,16.94,1
Rambutyo,Papua New Guinea,282,92.86,0,13.15,1
San Gabriel River,USA,283,85.86,3.45,28.99,1
Amami islands,Japan,284,1159.9,66.5,26.33,1
Cerro Azul Copan-Quebrada Grande and surrounding areas,Honduras,285,355.6,50.47,23.17,1
Rimatara,French Polynesia,286,6.35,0,NA,1
White Rock Hill,Jamaica,287,26.14,0,29.7,1
"Pacific, Eastern Central 10 - Marine",United States Minor Outlying Islands (to USA),288,41.04,0,NA,1
Cafetales de Támesis,Colombia,289,13.7,0,28.55,1
Moya Forest,Comoros,290,60.55,0,21.63,1
Almolya del Rio,Mexico,291,116.88,11.11,41.21,1
Kundah Reserve Forest - Avalanche & Bison Swamp,India,292,111.41,0,15.32,1
Arroyo Maldonado wetlands,Uruguay,293,96.04,0,42.67,1
Yaedake,Japan,294,40,69.23,39.64,1
Ndzuani highlands,Comoros,295,63.93,0,23.54,1
Mont Ntringui (Ndzuani highlands),Comoros,296,63.92,0,20.94,1
Bosques de la Falla del Tequendama,Colombia,297,243.59,83.1,33.65,1
Palmyra Atoll Marine,United States Minor Outlying Islands (to USA),298,232.64,0,NA,1
Hong Kong Island and Associated Islands,Hong Kong,299,76.46,83.33,NA,1
Isla Santa Margarita,Mexico,300,219.37,0,4.81,1
Uluguru Mountains,Tanzania,301,652.53,91.62,16.98,1
Santa Clara,Panama,302,136.05,30,21.66,1
Calendin,Peru,303,112.79,0,18.5,1
Daniel Alomias Robles,Peru,304,112.14,0,14.23,1
Previsto,Peru,305,105.34,0,12.04,1
Topes de Collantes,Cuba,306,376.89,74.58,22.54,1
Bemanevika NPA / Tsaratanana massif (south-west),Madagascar,307,426.8,0,10.74,1
Munchique Natural National Park and southern extension,Colombia,308,931.84,68.26,19.04,1
Chatham Islands,New Zealand,309,815.62,30.37,NA,1
Sierra de Juárez,Mexico,310,4213.04,16.19,18.12,1
Haycock / Habarakada,Sri Lanka,311,23.95,57.14,20.6,1
Eravikulam National Park,India,312,179.55,79.24,15.06,1
Plaine Corail,Mauritius,313,3.24,0,NA,1
Termessos,Turkey,314,76.93,0,19.81,1
Comarapa,Bolivia,315,101.54,80.65,18.78,1
Robben Island,South Africa,316,2.86,0,NA,1
Bosque de San Antonio/Km 18,Colombia,317,116.81,73.53,38.02,1
El Pital (part of El Pital transboundary AZE),Honduras,318,136.7,85.36,24.86,1
Knuckles Range (Knuckles IBA),Sri Lanka,319,331.1,94.85,28.54,1
Perairan Karakelang Utara,Indonesia,320,92.67,0,14.38,1
Tong,Papua New Guinea,321,17.2,0,8.84,1
Lago Lanalhue,Chile,322,97.74,0,22.85,1
Vanua Lava Mount Sereama,Vanuatu,323,173.83,0,14,1
Bandeira / Macarani,Brazil,324,112.62,0,15.78,1
Zanzibar Island-East Coast,Tanzania,325,82.13,0,18.66,1
Nendö,Solomon Islands,326,175.87,0,13.96,1
Peak Wilderness Sanctuary,Sri Lanka,327,413.59,86.78,22.18,1
Cuernos de Negros,Philippines,328,326.1,37.5,15.72,1
Île d'Ouvéa,New Caledonia (to France),329,125.68,0,21.11,1
Sur del Valle de México,Mexico,330,1219.56,79.2,20.93,1
Peckam Woods,Jamaica,331,104.68,0,30.5,1
Taita Hills Forests,Kenya,332,453.59,0,16.42,1
Mindo and western foothills of Volcan Pichincha (Mindo y Estribaciones Occidentales del volcán Pichincha IBA),Ecuador,333,1080.86,0,14.46,1
Las Guardias,Ecuador,334,113.53,0,14.98,1
El Ángel - Cerro Golondrinas and surrounding areas,Ecuador,335,612.66,38.76,18.72,1
Massif de la Hotte,Haiti,336,2198,0,25.23,1
Silent Valley National Park,India,337,151.98,95.56,14,1
Kandapola-Seethaeliya / Pedro,Sri Lanka,338,41,91.67,19.92,1
Islote Huentellao,Chile,338,2.62,0,18.74,1
Marotiri Marine,French Polynesia,338,3.04,0,NA,1
Concepción Pápalo,Mexico,341,13.11,50,20.8,1
Punta Huezhui,Chile,342,2.66,0,18,1
Mabla,Djibouti,343,74.09,0,13.72,1
Mangrove Lagoon,Virgin Islands (to USA),344,6.54,50,36.6,1
Kalpetta (forest-coffee matrix),India,345,229.26,26.47,17.27,1
La Salina,Colombia,346,123.04,0,7.9,1
Utwa-Walung Conservation Area,"Micronesia, Federated States of",347,20.57,0,14.05,1
Cerro La Judía,Colombia,348,146.89,72.09,36.39,1
Efatsy (Farafangana),Madagascar,349,98.18,0,20.83,1
Les Grottes,Haiti,350,19.4,0,23.24,1
Nilgiri North Forest Division,India,351,691.45,44.38,17.12,1
Mount Kinabalu,Malaysia,352,1002.74,81.57,20.61,1
Suroeste,Puerto Rico (to USA),353,111.33,55.88,29.62,1
Ambohidray NPA,Madagascar,354,29.37,0,17.49,1
Serranía de los Paraguas,Colombia,355,1660.47,3.31,17.2,1
Môle Saint Nicolas,Haiti,356,213.73,0,19.37,1
Fazenda Pindobas IV e Arredores,Brazil,357,119.42,0,16.16,1
Iranja-Ankazoberavina-Russian Bay MPA,Madagascar,358,393.68,0,14.31,1
Sierra Madre del Sur,Mexico,359,1954.44,1.51,18.9,1
Tapichalaca Reserve (Reserva Tapichalaca IBA),Ecuador,360,30.88,11.11,13.18,1
Perairan Sangihe,Indonesia,361,151.17,0,14.45,1
Corvo e Flores,Portugal,362,39.83,93.32,NA,1
Reserva Ecológica Antisana,Ecuador,363,1111.79,99.38,13.59,1
Mananara-North National Park,Madagascar,364,432.52,98.47,18,1
Crêtes du Nord Forest Reserve,Mayotte (to France),365,36.94,18.18,21.32,1
Songoro Mbili Forest Reserve,Mayotte (to France),366,33.57,0,22.78,1
Mount Bénara Forest Reserve,Mayotte (to France),367,43.62,0,22.22,1
Guguan Island Marine,Northern Mariana Islands (to USA),368,9.85,33.37,12,1
Mudumalai National Park,India,369,340.55,97.03,17.31,1
Perseverance Bay Lagoons,Virgin Islands (to USA),370,6.53,0,37.73,1
Agua de la Virgen,Colombia,371,10.22,33.33,24.35,1
Antainambalana-Andranofotsy River (Maroantsetra),Madagascar,372,46.46,0,26.51,1
Playa sector Chacalluta,Chile,373,13.07,0,26.59,1
Montana de Celaque,Honduras,374,593.23,84.27,28.47,1
Eastern Bahoruco,Dominican Republic,375,62.14,15.79,28.75,1
Peppara Wildlife Sanctuary,India,376,129.32,42.11,16.34,1
São Tomé northern savannas,Sâo Tomé e Principe,377,30.98,22.22,23.26,1
Chamarel - Le Morne,Mauritius,378,58.06,0,25.95,1
East Rennell,Solomon Islands,379,80.88,0,7.28,1
Zanzibar Island-South Coast,Tanzania,380,58.17,0,19.16,1
Sierra de Pandura,Puerto Rico (to USA),381,166.93,1.96,39.23,1
San Isidro,Colombia,382,140.6,29.27,16.85,1
Pribilof Island Area Habitat Conservation Zone,USA,383,176.65,34.13,NA,1
Masoala National Park - Section III,Madagascar,384,96.17,0,15.22,1
Lively Island Group,Falkland Islands (Malvinas),385,52.93,0,4.45,1
Gebe Island,Indonesia,386,130.8,0,13.51,1
Kidu Reserve Forest  -  Subramanya Reserve Forest,India,387,63.8,0,19.39,1
Carretera Ramiriqui-Zetaquira,Colombia,388,137.09,0,19.37,1
John Brewer's Bay,Virgin Islands (to USA),389,6.53,0,37.56,1
Mount Dajo National Park,Philippines,390,68.46,0,22.39,1
Parque Nacional de Monte Pascoal,Brazil,391,299.75,53.85,15.13,1
Santa Maria,Portugal,392,33,83.33,31.44,1
El Valle de Antón,Panama,393,204.18,0,21.82,1
Pico da Vara,Portugal,394,122.4,95.56,24.88,1
Taza,Algeria,395,85.58,0,19.03,1
Andringitra National Park,Madagascar,396,423.8,93.99,14.92,1
Kulahupuzha Reserved Forest,India,397,411.62,61.15,17.54,1
Mayotte Marine Natural Park,Mayotte (to France),398,87.27,38.46,24.08,1
Estación Biológica Guandera-Cerro Mongus,Ecuador,399,216.85,0,15.23,1
Lago Pátzcuaro,Mexico,400,175.1,0,26.68,1
Rani Jhansi Marine National Park,India,401,80.77,0,14,1
Yinggeling,China (mainland),402,273.42,2.38,18.49,1
Isla Roatan,Honduras,403,142.01,4.65,25.37,1
Mehuin 2,Chile,404,164.43,35.46,18.97,1
"Hacienda La Victoria, Cordillera Oriental",Colombia,405,164.63,12.5,23.08,1
Gunung Gede-Pangrango,Indonesia,406,324.71,86.32,21.52,1
Kiritimati (Christmas Island),Kiribati,407,443.81,0,7.92,1
Pulau Tana Jampea,Indonesia,408,140.05,0,15.7,1
North-west Isabel,Solomon Islands,409,750.6,39.55,8.98,1
"Diksam, Socotra",Yemen,410,131.05,0,16.92,1
Guaneras de Camaraca,Chile,411,6.52,0,18,1
Mount Kambinlio and Mount Redondo,Philippines,412,403.13,0,17.54,1
Bakossi mountains,Cameroon,413,895.02,42.91,16.2,1
Bambarabotuwa,Sri Lanka,414,95.73,85.71,24.98,1
Northwest Panay Peninsula Natural Park,Philippines,415,178.58,98.11,23.6,1
Kenting National Park,Taiwan,416,220.19,89.86,27.6,1
Isla Maiquillahue,Chile,417,2.66,0,18,1
Conoor,India,418,13.5,0,33.57,1
West Usambara Mountains,Tanzania,419,596.91,79.31,18.07,1
Ternate,Indonesia,420,72.28,0,23.35,1
Acanamá-Guashapamba-Aguirre,Ecuador,421,54.97,0,22.28,1
Tidore,Indonesia,422,72.28,0,21.57,1
"Tillangchong, Camorta, Katchal, Nancowry and Trinkat",India,423,323.81,0,13.78,1
Mondrain - Magenta - Trois Mamelles - Mont du Rempart,Mauritius,424,22.6,0,33.87,1
Catlins Coast,New Zealand,425,63.91,85.17,10.67,1
Montagne des Francais NPA,Madagascar,426,84.06,0,20.58,1
Wuzhishan,China (mainland),427,214.96,83.34,19.83,1
La Soufrière National Park,St Vincent and the Grenadines,428,56.94,0,22.65,1
